Datetime,Open,High,Low,Close,Adj Close,Volume
2022-12-19 09:30:00,383.4700012207031,383.79998779296875,383.04998779296875,383.1099853515625,383.1099853515625,2022558
2022-12-19 09:31:00,383.1199951171875,383.1199951171875,383.1199951171875,383.1199951171875,383.1199951171875,262455
2022-12-19 09:32:00,383.1499938964844,383.42498779296875,382.8407897949219,383.1603088378906,383.1603088378906,311699
2022-12-19 09:33:00,383.1499938964844,383.1600036621094,382.9700012207031,383.07000732421875,383.07000732421875,193800
2022-12-19 09:34:00,383.07000732421875,383.0799865722656,382.70001220703125,382.875,382.875,279400
2022-12-19 09:35:00,382.8800048828125,383.0899963378906,382.7799987792969,382.79998779296875,382.79998779296875,195792
2022-12-19 09:36:00,382.8399963378906,383.0799865722656,382.7099914550781,383.05499267578125,383.05499267578125,167708
2022-12-19 09:37:00,383.0799865722656,383.19000244140625,382.9599914550781,383.05999755859375,383.05999755859375,189767
2022-12-19 09:38:00,383.07000732421875,383.5299987792969,383.0299987792969,383.5299987792969,383.5299987792969,179450
2022-12-19 09:39:00,383.5198974609375,383.82000732421875,383.4800109863281,383.4800109863281,383.4800109863281,205601
2022-12-19 09:40:00,383.4939880371094,383.5400085449219,383.2300109863281,383.40240478515625,383.40240478515625,196798
2022-12-19 09:41:00,383.3949890136719,383.6199951171875,383.1199951171875,383.1400146484375,383.1400146484375,166546
2022-12-19 09:42:00,383.1400146484375,383.1499938964844,382.8599853515625,382.8999938964844,382.8999938964844,141710
2022-12-19 09:43:00,382.8599853515625,383.1799011230469,382.84039306640625,382.9800109863281,382.9800109863281,105001
2022-12-19 09:44:00,382.9801025390625,383.1700134277344,382.8826904296875,383.1441955566406,383.1441955566406,118589
2022-12-19 09:45:00,383.1600036621094,383.2250061035156,382.9200134277344,382.9898986816406,382.9898986816406,113465
2022-12-19 09:46:00,382.95001220703125,383.0299987792969,382.55999755859375,382.7301025390625,382.7301025390625,191070
2022-12-19 09:47:00,382.739990234375,382.76300048828125,382.260009765625,382.30999755859375,382.30999755859375,157758
2022-12-19 09:48:00,382.32000732421875,382.3299865722656,382.0799865722656,382.19000244140625,382.19000244140625,183540
2022-12-19 09:49:00,382.19989013671875,382.3299865722656,382.0799865722656,382.2101135253906,382.2101135253906,172112
2022-12-19 09:50:00,382.25,382.489990234375,382.20001220703125,382.3669128417969,382.3669128417969,225010
2022-12-19 09:51:00,382.3699951171875,382.3699951171875,382.04998779296875,382.05889892578125,382.05889892578125,115724
2022-12-19 09:52:00,382.05999755859375,382.25,382.05999755859375,382.1700134277344,382.1700134277344,141114
2022-12-19 09:53:00,382.17999267578125,382.3399963378906,382.1600036621094,382.2099914550781,382.2099914550781,99742
2022-12-19 09:54:00,382.20001220703125,382.3299865722656,382.19000244140625,382.20001220703125,382.20001220703125,71160
2022-12-19 09:55:00,382.2200012207031,382.2799987792969,381.9599914550781,382.04998779296875,382.04998779296875,174702
2022-12-19 09:56:00,382.0498962402344,382.0899963378906,381.8900146484375,381.9800109863281,381.9800109863281,94866
2022-12-19 09:57:00,381.9800109863281,382.25,381.9100036621094,382.2099914550781,382.2099914550781,163265
2022-12-19 09:58:00,382.2099914550781,382.30999755859375,382.0799865722656,382.1400146484375,382.1400146484375,148085
2022-12-19 09:59:00,382.1499938964844,382.4599914550781,382.1199951171875,382.4200134277344,382.4200134277344,153412
2022-12-19 10:00:00,382.42999267578125,382.44000244140625,382.05999755859375,382.2099914550781,382.2099914550781,150451
2022-12-19 10:01:00,382.2200012207031,382.42999267578125,382.1700134277344,382.2900085449219,382.2900085449219,225518
2022-12-19 10:02:00,382.2900085449219,382.3599853515625,382.1300048828125,382.239990234375,382.239990234375,198819
2022-12-19 10:03:00,382.25,382.3349914550781,381.9599914550781,381.9700012207031,381.9700012207031,139632
2022-12-19 10:04:00,381.9599914550781,382.25,381.9599914550781,382.0799865722656,382.0799865722656,164867
2022-12-19 10:05:00,382.0899963378906,382.0899963378906,381.79998779296875,381.94000244140625,381.94000244140625,117014
2022-12-19 10:06:00,381.94000244140625,382.0498962402344,381.82000732421875,381.82501220703125,381.82501220703125,127746
2022-12-19 10:07:00,381.8699951171875,382.1000061035156,381.739990234375,381.8699951171875,381.8699951171875,148179
2022-12-19 10:08:00,381.8800048828125,381.9549865722656,381.8299865722656,381.9100036621094,381.9100036621094,164479
